activity,legal_status
a tenant subletting an apartment with explicit written permission from the landlord,legal
a YouTuber monetizing a video that uses only public domain classical music recordings,legal
an employer docking a salaried exempt employee's pay for a single afternoon absence,illegal
a hacker accessing a former employer's database after their account credentials were revoked,illegal
a property owner granting a neighbor a written easement to use a shared driveway,legal
a company publishing a fake five-star review of its own product written by a paid internal employee without disclosure,illegal
an independent contractor retaining copyright to creative work not covered by a written work-for-hire agreement,legal
a social media platform banning a user for violating its terms of service,legal
an employer intercepting and reading employees' personal emails sent on private devices over a public network,illegal
a homeowner adverse-possessing a clearly disputed strip of a neighbor's land without meeting statutory requirements,illegal
a podcaster reading aloud and analyzing short excerpts from a published book for commentary purposes,legal
a company using a deceased celebrity's name and likeness in advertisements without estate authorization,illegal
an employer refusing to pay overtime to a non-exempt hourly worker who worked 50 hours in a week,illegal
a landlord keeping a tenant's security deposit to cover documented unpaid rent after lawful eviction,legal
a company accessing an ex-employee's personal cloud storage account without authorization to retrieve files,illegal
an employee filing a formal wage complaint with the department of labor for unpaid overtime,legal
a landlord renting a residential unit that the local housing authority has declared uninhabitable,illegal
an individual filing an accurate federal income tax return and paying the full amount owed by the deadline,legal
a business owner claiming personal vacation expenses as business deductions on a corporate tax return,illegal
a property owner recording a deed transferring real estate to a family member as a gift,legal
a company installing keyloggers on employees' personal smartphones without their knowledge or consent,illegal
an employer providing written notice of mass layoffs 60 days in advance as required by the warn act,legal
a landlord retaliating against a tenant by raising rent immediately after the tenant reported code violations,illegal
an individual contributing to a health savings account up to the irs annual contribution limit,legal
a company conducting a distributed denial-of-service attack against a competitor's website to disrupt sales,illegal
an employer posting a job listing specifying a minimum age of 18 for a role involving operating heavy machinery,legal
a property developer demolishing a building on land they own after obtaining all required municipal permits,legal
"a sole proprietor hiding $50,000 of cash business income by omitting it entirely from their federal tax return",illegal
a website operator publishing a clear and accurate privacy policy describing how user data is collected and used,legal
an employer terminating a worker the day before their pension vests specifically to deny them pension benefits,illegal
a homeowner refinancing their mortgage through a federally licensed lender to obtain a lower interest rate,legal
a scammer creating a fake irs website to collect taxpayers' social security numbers and banking credentials,illegal
a landlord charging a prospective tenant a non-refundable application fee without providing a written receipt in a state requiring one,illegal
a homeowner recording a lien on their own property to secure a personal loan from a family member,legal
an e-commerce retailer advertising a product at a fake inflated original price to make a discount appear larger than it is,illegal
a consumer disputing an inaccurate charge on a credit card statement under the fair credit billing act,legal
a company installing hidden keylogger software on customer computers during paid repair visits to steal banking credentials,illegal
an individual claiming a home office deduction on their tax return for a room used exclusively and regularly for business,legal
a debt collector calling a consumer before 8 a.m. repeatedly to pressure payment,illegal
a property owner recording an easement termination in the county deed registry after both parties agree in writing,legal
a retailer selling a product labeled as containing 500 mg of a supplement when it contains only 50 mg,illegal
a taxpayer contributing the maximum allowable amount to a traditional ira and deducting it on their federal return,legal
a company sending unsolicited commercial emails without a functioning opt-out mechanism in violation of the can-spam act,illegal
a buyer purchasing real property and recording the deed with the county recorder's office to establish public notice,legal
a website operator collecting personal data from children under 13 without verifiable parental consent,illegal
a small business owner deducting ordinary and necessary business expenses such as office supplies on a corporate tax return,legal
a telemarketer calling a residential number that has been on the national do-not-call registry for over 31 days,illegal
a landlord providing a tenant with a written itemized statement of security deposit deductions within the statutory deadline,legal
an individual hiding offshore bank account income from the irs by failing to file a required fbar report,illegal
a consumer submitting a written request to a credit bureau to correct a factually inaccurate entry on their credit report,legal
a property seller deliberately concealing known structural foundation damage from a buyer during a real estate transaction,illegal
a nonprofit organization applying for and receiving federal tax-exempt status under irs section 501(c)(3),legal
a gun dealer selling a firearm to a buyer without conducting an FBI NICS background check,illegal
a licensed FFL dealer transferring a handgun to an out-of-state resident directly without routing through a dealer in the buyer's home state,illegal
an individual manufacturing and selling unregistered short-barreled rifles without an NFA tax stamp or SOT license,illegal
a U.S. citizen purchasing a handgun from a licensed dealer after passing a background check and completing ATF Form 4473,legal
a hacker using a botnet to conduct a distributed denial-of-service attack against a competitor's e-commerce website,illegal
a company sending unsolicited commercial emails without a working opt-out mechanism in violation of the CAN-SPAM Act,illegal
an online retailer displaying a clear unconditional 30-day return policy and honoring it for all qualifying purchases,legal
a business secretly recording telephone calls with customers in a two-party consent state without disclosure,illegal
a taxpayer claiming a dependent child tax credit for a child who legally qualifies under IRS rules,legal
an employer paying wages to workers entirely in cash and failing to withhold or remit federal payroll taxes to the IRS,illegal
a consumer using a virtual private network to browse the internet privately at home,legal
a debt collector calling a consumer repeatedly at 3 a.m. to demand payment in violation of the FDCPA,illegal
a retailer providing consumers with a written warranty on goods costing more than $15 as required by the Magnuson-Moss Act,legal
a tax preparer inflating a client's charitable deductions on a federal return without documentation to obtain a larger refund,illegal
a licensed CPA electronically filing a client's accurate federal and state income tax returns before the deadline,legal
a convicted felon purchasing a firearm through a private sale specifically to circumvent the background check requirement,illegal
a cybersecurity researcher disclosing a discovered software vulnerability to the vendor under a responsible disclosure program,legal
an online marketplace intercepting and reading private encrypted messages between buyers and sellers without consent,illegal
a small business owner collecting and remitting state sales tax on all taxable online sales to in-state customers,legal
a telemarketer calling a consumer whose number is listed on the National Do Not Call Registry without a prior business relationship,illegal
a corporation deducting legitimate business travel expenses on its federal corporate tax return,legal
an individual claiming a home office deduction for a room used exclusively and regularly for self-employment,legal
a business owner paying employees in cash without withholding or remitting federal payroll taxes,illegal
a taxpayer deliberately overstating charitable donation values on a federal return to inflate deductions,illegal
a car dealership advertising a vehicle at one price and charging a higher price at signing without disclosure,illegal
a manufacturer issuing a voluntary recall and providing full refunds for a defective product posing a safety risk,legal
a debt collector calling a consumer before 8 a.m. repeatedly in violation of the fair debt collection practices act,illegal
a retailer clearly disclosing all mandatory fees in an itemized receipt before the consumer completes purchase,legal
a licensed firearms dealer conducting a background check through nics before completing a gun sale,legal
a private individual selling a firearm directly to a buyer they know is a convicted felon,illegal
a gun store owner selling an unregistered short-barreled rifle without nfa tax stamp compliance,illegal
a licensed gunsmith engraving a serial number onto a legally registered privately made firearm per atf requirements,legal
a factory discharging unpermitted industrial wastewater containing heavy metals directly into a navigable river,illegal
a company obtaining an epa permit and complying with all conditions before releasing treated effluent into a waterway,legal
a developer filling federally protected wetlands without obtaining a section 404 permit from the army corps of engineers,illegal
a municipality conducting an environmental impact assessment before beginning a federally funded highway expansion,legal
a pesticide manufacturer selling a product with epa-approved labeling that lists all active ingredients and usage instructions,legal
an agricultural business applying a pesticide not registered for that crop in violation of epa label requirements,illegal
a company stockpiling and selling ozone-depleting chlorofluorocarbons in violation of clean air act regulations,illegal
a taxpayer setting up a legitimate s-corporation to pass business income through to a personal return,legal
a car dealer advertising a vehicle as 'new' after it sustained undisclosed flood damage,illegal
a licensed importer bringing a foreign-made firearm into the US with proper ATF Form 6 approval,legal
a factory discharging industrial wastewater directly into a navigable river without an NPDES permit,illegal
a U.S. citizen sponsoring an immediate-relative spouse for lawful permanent residence by filing Form I-130,legal
a consumer filing a complaint with the CFPB about a lender's deceptive loan terms,legal
a manufacturer converting a semi-automatic rifle into a fully automatic weapon without ATF approval,illegal
an employer knowingly hiring undocumented workers without completing required I-9 employment verification forms,illegal
a company selling recalled children's car seats that CPSC has ordered off the market,illegal
an individual legally purchasing and possessing a suppressor after completing ATF Form 4 and paying the $200 tax stamp,legal
a chemical plant illegally burying drums of hazardous waste on company property without EPA authorization,illegal
an asylum seeker presenting themselves at a U.S. port of entry and formally requesting asylum,legal
a used car dealer rolling back odometer readings on vehicles before listing them for sale,illegal
a city utility filing a required annual Clean Water Act discharge monitoring report with the EPA,legal
a licensed FFL dealer selling a handgun to a buyer who passes a NICS background check and is at least 21,legal
a landlord retaliating against a tenant by raising rent immediately after the tenant filed a housing code complaint,illegal
a noncitizen on a valid F-1 student visa attending classes at an accredited U.S. university,legal
a business selling ghost guns — unserialized untraceable firearms — commercially to the general public,illegal
a company offering consumers a mandatory binding arbitration clause that waives class-action rights in a consumer contract,legal
a shipping company knowingly transporting illegal aliens across the U.S. border for profit,illegal
a consumer requesting and obtaining a free annual credit report from annualcreditreport.com under FCRA,legal
a licensed dealer selling a semi-automatic rifle to a buyer who has passed a NICS background check and is 18 or older,legal
an individual converting a semi-automatic rifle to fully automatic fire without an ATF license or registered pre-1986 status,illegal
a mining company obtaining and operating under a valid Clean Air Act Title V permit for a new facility,legal
a chemical plant illegally dumping barrels of hazardous waste into an unlined pit without EPA authorization,illegal
a U.S. employer completing and retaining a Form I-9 to verify the work authorization of every newly hired employee,legal
a business owner knowingly hiring undocumented workers while falsifying their I-9 employment eligibility verification forms,illegal
two parties signing a written contract that includes a valid offer acceptance and consideration for sale of goods,legal
a seller intentionally misrepresenting the mileage of a used car in a written sales contract to induce purchase,illegal
a person applying for asylum at a U.S. port of entry by presenting themselves to a CBP officer,legal
a smuggler transporting undocumented migrants across the U.S.-Mexico border for payment,illegal
a gun owner storing a legally owned handgun in a locked safe in their private residence,legal
a straw purchaser buying a firearm from an FFL dealer on behalf of a prohibited person by lying on ATF Form 4473,illegal
a company obtaining an EPA-approved NPDES permit before discharging treated effluent into a local waterway,legal
a landlord knowingly disposing of lead-based paint debris from a renovation into a public storm drain,illegal
"a franchisor and franchisee entering a written franchise agreement specifying royalties, territory, and term length",legal
an employer unilaterally withholding a contractor's earned payment after project completion with no contractual basis,illegal
a foreign national on a valid F-1 student visa attending an accredited U.S. university full-time,legal
a visa holder remaining in the United States for two years after their authorized stay expired without filing for an extension,illegal
a licensed importer bringing foreign-made firearms into the U.S. after receiving ATF import approval,legal
a private individual mailing a loaded handgun to another private individual across state lines through USPS,illegal
a company dumping barrels of hazardous chemical waste in an unlicensed landfill without EPA approval,illegal
a business obtaining a valid EPA hazardous waste disposal permit and using a licensed facility,legal
an employer inserting a non-compete clause into an employment contract in a state where such clauses are enforceable,legal
a data broker selling consumers' precise GPS location data to third parties without obtaining user consent,illegal
a company storing EU residents' personal data on U.S. servers without a GDPR-compliant data transfer mechanism,illegal
two businesses entering a written requirements contract specifying that one party will buy all needed supplies exclusively from the other,legal
a foreign national working full-time for a U.S. employer while holding only a tourist B-2 visa,illegal
a website operator honoring all user requests to delete personal data as required under the California Consumer Privacy Act,legal
a real estate developer filling federally protected wetlands without a Section 404 Clean Water Act permit,illegal
an employer including a binding arbitration clause in a new-hire employment contract for dispute resolution,legal
a technology company selling users' private medical search history to insurance companies without user consent,illegal
an importer filing accurate customs declarations and paying all applicable duties on imported merchandise,legal
a company knowingly hiring an undocumented worker without completing the required I-9 employment verification,illegal
two parties executing a written settlement agreement to resolve a civil contract dispute out of court,legal
a logging company clear-cutting old-growth forest within a federally designated wilderness area without authorization,illegal
a software-as-a-service company publishing a GDPR-compliant data processing agreement for its EU business customers,legal
a landlord inserting a lease clause waiving the tenant's right to a habitable premises under state law,illegal
a company conducting mandatory annual HIPAA privacy and security training for all employees who handle patient records,legal
an employer threatening to report an undocumented worker to immigration authorities in retaliation for filing a wage theft complaint,illegal
a U.S. employer knowingly hiring a worker who has no legal authorization to work in the United States,illegal
a foreign national filing a complete I-485 adjustment-of-status application with USCIS after marrying a U.S. citizen,legal
an employer threatening to call ICE on undocumented employees who report workplace safety violations,illegal
a lawful permanent resident filing a naturalization application after meeting the five-year continuous-residence requirement,legal
a staffing agency inserting a clause in a commercial contract requiring the other party to waive all statutory consumer protections,illegal
two businesses signing a written non-disclosure agreement before sharing proprietary product specifications,legal
a vendor deliberately delivering goods that materially fail to conform to the contract's written specifications and refusing to cure,illegal
a software-as-a-service company including a clearly written limitation-of-liability clause capping damages at contract value,legal
a company transferring EU residents' personal data to a U.S. server without any GDPR-compliant transfer mechanism in place,illegal
a mobile app displaying a granular opt-in consent screen before enabling any third-party advertising trackers,legal
a company retaining employees' biometric timekeeping data indefinitely without a written retention policy in violation of Illinois BIPA,illegal
a healthcare provider encrypting patient records and signing a HIPAA-compliant business associate agreement with a cloud storage vendor,legal
a protest organizer obtaining a municipal parade permit before leading a march along a designated public street route,legal
a group of protesters blocking the entrance to a hospital emergency room preventing ambulance access,illegal
a city government arresting peaceful demonstrators solely for displaying anti-government signs on a public sidewalk,illegal
a student handing out political leaflets silently on a public university campus without obstructing foot traffic,legal
a police officer using a confidential informant to plant drugs on a suspect and then filing a sworn false arrest report,illegal
a municipality enacting a noise ordinance that limits amplified sound in residential areas between 10 p.m. and 7 a.m.,legal
an asylum seeker presenting themselves at an official U.S. port of entry and formally requesting asylum from a CBP officer,legal
a landlord reporting a tenant to immigration authorities in direct retaliation for the tenant filing a habitability complaint,illegal
a supplier and retailer signing a written exclusive distribution agreement for a defined sales territory,legal
a contractor billing a client for 40 hours of work never performed under a fixed-fee contract,illegal
two competing companies secretly agreeing to fix prices on identical products sold to consumers,illegal
a business including a clear limitation-of-liability clause in a signed commercial services contract,legal
an employer using a third-party payroll company that stores employee Social Security numbers using AES-256 encryption,legal
a company sharing employee health insurance claims data with an outside marketing firm without employee consent,illegal
a municipality obtaining a valid permit before using a loudspeaker at an outdoor public event in a residential zone,legal
a protest organizer deliberately blocking a hospital emergency vehicle entrance with demonstrators during a march,illegal
a group of activists staging a peaceful stationary demonstration on a public sidewalk without blocking pedestrian traffic,legal
a driver running a red light at 50 mph in a school zone during active school hours,illegal
a motorist making a complete stop at a stop sign before proceeding through a four-way intersection,legal
a driver operating a motor vehicle on a public road with a blood alcohol content of 0.12 percent,illegal
a trucking company operating a commercial vehicle that exceeds the federal 80000-pound gross vehicle weight limit without a special permit,illegal
a ride-share driver maintaining valid registration insurance and a state-required chauffeur's license while transporting passengers,legal
a social media platform selling users' private direct message content to advertisers without user consent,illegal
a city government passing an ordinance requiring 48-hour advance notice for large permitted public demonstrations,legal
a vendor inserting a unilateral contract modification clause allowing price changes without buyer notice or consent,illegal
